"year","airport","airport_name","arrivals","delayed","carrier_delays","weather_delays","nas_delays","security_delays","late_aircraft_delays","on_time"
2009,"IAH","Houston, TX: George Bush Intercontinental/Houston",183023,29466,5846.88,985.35,14210.44,77.19,8346.15,0.8390038410473
2009,"LAS","Las Vegas, NV: McCarran International",154472,25314,6809.82,598.56,8128.57,63.89,9713.34,0.836125640892848
2009,"LAX","Los Angeles, CA: Los Angeles International",193525,31314,9004.59,803.54,9601.62,77.32,11827,0.838191448133316
2009,"ORD","Chicago, IL: Chicago O'Hare International",314611,56398,12046.61,1736.73,24740.19,70.9,17803.54,0.820737355019373
2009,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",184121,27614,8632.82,664.55,9412.93,95.72,8808.08,0.850022539525638
2010,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",414596,77891,16303.07,2329.66,32885.3,73.27,26299.72,0.812127951065616
2010,"DEN","Denver, CO: Denver International",238549,35623,8300.97,1000.53,10453.03,94.23,15774.34,0.850667996931448
2010,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",267736,41867,9628.64,2106.88,12738.75,68.65,17324.08,0.843625810499895
2010,"IAH","Houston, TX: George Bush Intercontinental/Houston",183218,30428,5959.13,798.14,14279.18,114.66,9276.77,0.833924614393782
2010,"LAS","Las Vegas, NV: McCarran International",145222,24141,6847.48,605.17,5657.37,86.25,10944.73,0.833764856564432
2010,"LAX","Los Angeles, CA: Los Angeles International",199685,34067,9562.82,802.83,9963.66,140.8,13596.93,0.829396299171195
2010,"ORD","Chicago, IL: Chicago O'Hare International",313411,59755,10338.58,1581.48,26982.74,72.85,20779.4,0.809339812578372
2010,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",181331,24811,7098.79,600.2,6985.34,89.69,10037.08,0.863172871709746
2011,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",393051,69197,14822.94,1516.25,25926.55,51.16,26880.08,0.823949054957245
2011,"DEN","Denver, CO: Denver International",241397,39347,9150.6,1011.38,12313.99,87.9,16783.22,0.837002945355576
2011,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",260250,37978,9526.3,1602.7,11403.7,37.1,15408.22,0.854071085494717
2011,"IAH","Houston, TX: George Bush Intercontinental/Houston",175223,30411,7487.78,766.75,11959.44,85.87,10111.2,0.826444017052556
2011,"LAS","Las Vegas, NV: McCarran International",146278,24191,6918.89,521.32,6098.27,96.27,10556.32,0.834623114890824
2011,"LAX","Los Angeles, CA: Los Angeles International",210952,39972,10125.24,868.77,13880.91,100.45,14996.57,0.810516136372255
2011,"ORD","Chicago, IL: Chicago O'Hare International",313759,63815,11538.57,1608.41,26829.47,45.32,23793.24,0.796611411943562
2011,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",188259,26141,7457.72,628.51,7322.33,107.21,10625.26,0.861143424749946
2012,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",391953,56370,13447.57,1242.97,20620.89,50.12,21008.52,0.856181736075499
2012,"DEN","Denver, CO: Denver International",235620,36984,9902.79,830.86,10673.63,89.36,15487.47,0.843035395976572
2012,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",272449,41942,10056.36,1631.56,12016.9,42.52,18194.66,0.846055592055761
2012,"IAH","Houston, TX: George Bush Intercontinental/Houston",177370,32758,8597.27,772.23,10183.85,50.68,13153.94,0.815312623329763
2012,"LAS","Las Vegas, NV: McCarran International",142258,21111,6382.69,516.9,5135.27,67.29,9008.9,0.8516006129708
2012,"LAX","Los Angeles, CA: Los Angeles International",222921,39347,10854.9,987.03,11838.27,93.71,15573.16,0.823493524611858
2012,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",183065,23185,6569.88,397.34,7579.41,110.02,8528.36,0.873350995548029
2013,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",398882,72292,15779.03,2124.43,27456.47,65.16,26866.94,0.818763443825492
2013,"DEN","Denver, CO: Denver International",226491,48897,11412.22,1272.86,17096.45,106.89,19008.44,0.784110626912328
2013,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",286430,53882,11165.45,1958.08,16027.2,56.42,24674.86,0.81188423000384
2013,"IAH","Houston, TX: George Bush Intercontinental/Houston",181073,33827,8047.4,903.89,10672.74,32.98,14169.94,0.813185842174151
2013,"LAS","Las Vegas, NV: McCarran International",138609,26288,7320.44,644.62,6695.74,76.22,11550.96,0.810344205643212
2013,"LAX","Los Angeles, CA: Los Angeles International",224821,42920,11545.14,1183,12848.19,99.38,17244.38,0.809092566975505
2013,"ORD","Chicago, IL: Chicago O'Hare International",306532,70470,12929.66,1528.44,26657.22,54.81,29299.89,0.770105568097295
2013,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",177030,27059,8235.71,491.17,7405.73,97.35,10829.06,0.847150200530983
2014,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",369842,62396,15564.53,1657.71,20717.72,40.91,24415.26,0.831290118483028
2014,"DEN","Denver, CO: Denver International",224067,48459,11649.84,1343.01,15665.85,44.8,19755.46,0.783729866513141
2014,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",278310,59908,12513.01,2164.15,18917.26,59.03,26254.53,0.784743631202616
2014,"IAH","Houston, TX: George Bush Intercontinental/Houston",174235,35570,8674.34,1093.16,11907.49,7.02,13888,0.795850431887967
2014,"LAS","Las Vegas, NV: McCarran International",137058,29193,8360.16,718.94,6844.83,49.72,13219.48,0.787002582848137
2014,"LAX","Los Angeles, CA: Los Angeles International",221941,47721,12684.15,1466.55,15140.83,91.76,18337.57,0.784983396488256
2014,"ORD","Chicago, IL: Chicago O'Hare International",287377,77824,12926.48,1691.31,35024.07,51.36,28130.86,0.72919196734603
2014,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",160466,29068,9244.79,529.23,7142.02,53.54,12098.39,0.818852591826306
2015,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",379498,55176,15762.03,1701.3,17394.94,64.33,20253.49,0.854607929422553
2015,"DEN","Denver, CO: Denver International",214135,40223,10821.85,1327.87,12760.48,49.8,15263.02,0.812160552922222
2015,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",260615,46733,12331.7,1907.66,14644.47,91.85,17757.38,0.820681848704027
2015,"IAH","Houston, TX: George Bush Intercontinental/Houston",159910,29808,7760.58,1012.24,10965.95,23.9,10045.26,0.81359514727034
2015,"LAS","Las Vegas, NV: McCarran International",145900,26169,7496.71,780.88,6811.86,61.15,11018.35,0.820637422892392
2015,"LAX","Los Angeles, CA: Los Angeles International",212435,45714,11948.06,1439.25,17421.36,87.49,14817.71,0.784809471132346
2015,"ORD","Chicago, IL: Chicago O'Hare International",313514,62123,12971.61,1868.72,25538.09,67.14,21677.38,0.80184935919927
2016,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",123668,14707,4245.31,376.68,4360.1,8.97,5716,0.881076753889446
2016,"DEN","Denver, CO: Denver International",71223,9062,2561.51,306.13,2611.93,13.58,3568.85,0.872765820030046
2016,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",65177,9795,2805.31,273.63,3284.78,20.4,3410.9,0.84971692468202
2016,"IAH","Houston, TX: George Bush Intercontinental/Houston",45673,6088,1548.65,229.06,2507.68,6.22,1796.36,0.866704617607777
2016,"LAS","Las Vegas, NV: McCarran International",48926,7921,1937.11,328.79,2632.19,22.63,3000.38,0.838102440420226
2016,"LAX","Los Angeles, CA: Los Angeles International",66114,11888,3167.87,285.8,4557.75,28.88,3847.71,0.820189369876274
2016,"ORD","Chicago, IL: Chicago O'Hare International",76067,12653,2631.42,345.55,5725.24,12.72,3938.06,0.833659799913234
2016,"PHX","Phoenix, AZ: Phoenix Sky Harbor International",53176,6606,2015.17,136,1783.05,11.21,2660.59,0.875771024522341
